	query	text	user	date	hashtags	likes	retweets	url	score
0	covid	@07e0f0f6-c973-50c3-9a91-ae3c8bc4d9d5 @3ca5a60b-bbc2-5455-9faf-d691ffa02229 Covid?👀	8b3f6d4a-7f21-543e-89a3-64efd9191113	Sat Nov 21 14:44:33 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330160174393331713	202.66845703125
1	covid	RT @52fe282a-cdb8-564f-8e23-3f4eadd67904: So he is covid	2d33104f-43f9-5aa5-b314-2aeef48594e5	Sat Nov 21 15:18:47 +0000 2020	[]	124875	23930	https://twitter.com/i/web/status/1330168789066014721	202.66845703125
2	covid	@0c4f049c-4052-5145-8ddc-38bfcf44250f COVID 😂😂😂	0465a6ae-2c52-5ebf-92f9-0132d5f5fed0	Sat Nov 21 15:20:00 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330169097427046402	202.66845703125
3	covid	TWAT - #COVID	be1188c9-8b2b-53ea-84d8-45f848b58b89	Sat Nov 21 14:45:27 +0000 2020	['COVID']	184	45	https://twitter.com/i/web/status/1330160402601283586	202.66845703125
4	covid	@c19cad36-7527-52a2-b378-6f1ca8296511 @b9803975-3863-543d-9a2c-96ef63e6ab89 covid?	a0ea6269-852a-54c6-bb47-8cb6790b35c9	Sat Nov 21 15:42:46 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330174827043368961	202.66845703125
5	covid	COVID positif !!	da6933a8-309c-56b0-8f67-ed312006d86d	Sat Nov 21 15:07:36 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330165975803637760	202.66845703125
6	covid	RT @47af3eb1-86dc-5541-9763-07c1eae72de9: COVID: https://t.co/rpCrIS9diV	d9150c30-144b-5f32-8e25-97e6370fdee3	Sat Nov 21 15:05:29 +0000 2020	[]	107992	26694	https://twitter.com/i/web/status/1330165443974344705	202.66845703125
7	covid	Me with covid: https://t.co/7M4DuVXFrT	93447d70-1080-57bf-b6c8-aa6bd66edf2c	Sat Nov 21 15:34:44 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330172805024002049	202.66845703125
8	covid	RT @80da0607-d5ec-5181-bc0f-bcfa28488711: Solon venceu a COVID🙌🙌😭	e702b7d1-6a0a-5c6d-a033-e2e80e4067e3	Sat Nov 21 16:08:15 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330181236854296577	202.66845703125
9	covid	@7c41497a-1543-5573-9fd9-7ba4968cae2e Covid isint in JP... 🤦🏽‍♀️	a8a300e0-63b9-505d-874d-2d24a28394d0	Sat Nov 21 16:04:51 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330180382336184330	202.66845703125
10	covid	@56575a5e-ca94-535c-a0bb-3ca46619e01c Of COVID?	cb67a283-16da-5397-97ac-f9d35a8b2528	Sat Nov 21 16:08:18 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330181250229919748	202.66845703125
11	covid	@4f86568b-d76c-5c24-b114-ec4a73329240 COVID!	4cfcd0ea-9b43-5d65-8156-120866908887	Sat Nov 21 15:56:27 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330178270692782087	202.66845703125
12	covid	@7dcef19f-e52c-5786-842b-64ef19049740 Covid	1c71e5d9-d054-5101-945e-3238f2ba56c6	Sat Nov 21 15:42:27 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330174745430675456	202.66845703125
13	covid	@0f5b08ed-e297-5d0b-8d36-370d278aad58 Covid	073d5c1a-1077-5eea-9dda-4e551111b38a	Sat Nov 21 16:20:05 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330184216198455301	202.66845703125
14	covid	@5ad8bc19-fe0e-5f22-a190-d058b691063c Covid mano	210006b9-402e-5d11-a58c-98c3f54517d9	Sat Nov 21 14:32:03 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330157027524562944	202.66845703125
15	covid	@5dfc918c-f471-5d43-90a4-76799cc4e4c2 Covid?	11b931a4-a3c5-5d29-8060-33be69f3e841	Sat Nov 21 15:07:42 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330166001992953860	202.66845703125
