	query	id	text	user	likes	retweets	hashtags	cluster	score
0	covid	1330157579541106689	@a681cf9f-b27d-530b-878c-d216518ba80c Covid Covid Covid Covid!	40af6ae1-a0f6-5889-8021-dd8fcbf59324	0	0	[]	9	2.4693048309852133
1	covid	1330161590784692237	"RT @983740bc-166f-59c8-8415-006fb46494f0: Covid this covid that....
Can we talk about ME now?????"	72d95870-ef1b-53c8-93a1-a95ba950bed7	0	0	[]	6	2.078229694571375
2	covid	1330178293337907204	RT @22737630-63e4-5279-ad2c-fb13a3bc0bcb: Also, more GOP senators have COVID than believe in COVID.	bf1feef5-88f9-589d-bed5-f9b7b4541ac8	8326	1696	[]	3	1.6968674399999997
3	covid	1330164597194682368	@ceee72ef-5014-54bc-8e7c-e88447d3074b There’s a world of difference between “testing positive for Covid” and actually having COVID.	2bd13d19-f81e-5d41-b176-3e2bd4756ea5	0	0	[]	7	1.5348743502138829
4	covid	1330183694439616516	"This year turkeys will be voting for Covid.

And Covid will be voting for Christmas."	dcb383c5-16b3-567b-b407-00c8a0e7d875	5	1	[]	10	1.5348743502138829
5	covid	1330174790750056449	Ben Carson was 'desperately sick' with COVID, is now 'out of the woods' https://t.co/eWDeWrWZPI #FoxNews Covid has… https://t.co/QCSE28n9M7	8fc3d573-3854-5d47-bc38-73b02af07cbe	0	0	['FoxNews']	0	1.4695303098946668
6	covid	1330157016782921729	@5f32f89b-bc0f-5ecc-a7c2-e600c3503336 But was he a covid death?	99f44ef4-6f5d-51d9-813c-89aa91ece1dd	0	0	[]	1	1.4695303098946668
7	covid	1330178296349396997	@d28fd7dc-05b5-5268-a49d-065a9d74d911 Flu spread is prevented by the same measures as COVID and since it’s less transmissible than COVID, th… https://t.co/cGH72P9g7s	4b4f07bf-6929-5d62-9eac-f31b1e64151f	0	0	[]	11	1.3605206981254687
8	covid	1330164612419948550	"ATTENTION G20:  No to Covid Loans, Cancel the Debt 
@67c3c5d2-2f04-5392-8361-aa5df1dbca0c
The business of lending continues. But Covid emergency… https://t.co/miQgiUzbVZ"	73edc35b-48c1-5523-937a-c648ff17965e	0	0	[]	11	1.3143878671683225
9	covid	1330165418112245761	"ATTENTION G20:  No to Covid Loans, Cancel the Debt 
@67c3c5d2-2f04-5392-8361-aa5df1dbca0c
The business of lending continues. But Covid emergency… https://t.co/wg9LeN5sA0"	73edc35b-48c1-5523-937a-c648ff17965e	0	0	[]	11	1.3143878671683225
10	covid	1330160102893096960	this covid vaccine smells great!	be22165c-ce18-5b85-80c4-dd9d9e1e6989	0	0	[]	5	1.2726505799999999
11	covid	1330175325192515585	"How to stay safe during CoVid:

https://t.co/GWGjBfWjT2"	7b62840b-6761-5c24-a8ee-de16ee7a1c8c	0	0	[]	11	1.2726505799999999
12	covid	1330173884679720968	Covid is a scam of pandemic proportions.	f03be79b-2761-547a-a340-e13278d8262c	82773	15371	[]	8	1.2726505799999999
13	covid	1330157601435373570	Pi will help the World out of covid!	efaf7a63-b182-5609-a211-902a56135514	314	8	[]	11	1.2726505799999999
14	covid	1330169109363953671	@409b2fda-382f-5544-80dd-de42f1956fd2 Disapprove. I work on a Covid unit.	39f257f3-d5ba-5f9f-be9e-c9829ac1ef29	0	0	[]	11	1.1382932833938135
15	covid	1330172792034242566	RT @2c08b7dc-c7a9-58ad-974a-ff7612d07a7a: Which is more deadly for COVID spread: https://t.co/v8NOvKx2hK	2c08b7dc-c7a9-58ad-974a-ff7612d07a7a	0	0	[]	11	1.1382932833938135
16	covid	1330184237887213568	"RT @ecc59748-6e8d-5c3a-8ed5-416cd9589990: Cloth masks, disposable masks, most masks don't protect against Covid whether you wear them ""correctly"" or not. Covid is so…"	f2a10ca4-0c50-513b-aeec-f52198c832fa	0	0	[]	2	1.110860498300848
17	covid	1330180396047331328	@d9ff9341-3a92-514a-b5e9-171765e9fc1a COVID is just dreadful. It changed the whole world 🤦🏾‍♀️	2d77385f-f678-5f3f-874d-5a3d9d8a632c	0	0	[]	11	1.0391148472856875
18	covid	1330166040626679818	Everyone eat candies because it keep covid away	afc84700-8bc6-5a39-87b7-92106207ae11	0	0	[]	4	1.0391148472856875
19	covid	1330184275237408768	@7f6c02b6-1eaa-5c76-acb7-b78c76ab93c9 @abc29b2c-e15e-5cf2-83bf-f5c826e4df6d Covid is a virus spreading in a racist nation.	9f1db68a-caa9-5533-9e7a-d09f62537407	0	0	[]	11	0.9620334115891745
