	query	id	text	user	likes	retweets	hashtags	cluster	score
0	covid	1330157579541106689	@a681cf9f-b27d-530b-878c-d216518ba80c Covid Covid Covid Covid!	40af6ae1-a0f6-5889-8021-dd8fcbf59324	0	0	[]	9	2.4693048309852133
1	covid	1330161590784692237	"RT @983740bc-166f-59c8-8415-006fb46494f0: Covid this covid that....
Can we talk about ME now?????"	72d95870-ef1b-53c8-93a1-a95ba950bed7	0	0	[]	6	2.078229694571375
2	covid	1330157034428362752	RT @a8d42d10-0402-5264-a093-ca27d514c560: is it allergies or is it covid? is it a stress migraine or is it covid? is it anxiety or is it covid?	1ab132c0-8203-5b19-817a-309b03ceca2d	0	0	[]	6	2.040781047188203
3	covid	1330178330474278920	"@3f6a872d-2ae4-5353-a1e6-2af15738df62 @618a9f66-6c76-5418-acd8-7a2548669500 @3ffaf75c-afda-5ca5-89ad-d5df7357ccf2 Didn't he say ""COVID, COVID, COVID, COVID"" would disappear after the e… https://t.co/e20EGtOi1V"	2b9f8e1f-2dde-55aa-a746-af82863c81dd	0	0	[]	6	2.0362409280000002
4	covid	1330183627699875840	@02e6fb19-6e6e-5b3a-977b-14c8000d52d1 Who cares, COVID, COVID, COVID, remember?  You can't be bothered, you ain't got no time for that.… https://t.co/9ElyH36JPS	dcbfcb5a-17be-5a5f-8c00-69c97f868a22	0	0	[]	6	1.7997997103979857
5	covid	1330166242863439880	"Hello, can everyone please take COVID seriously! This baby has been orphaned because of COVID! 
COVID IS REAL AND I… https://t.co/Nz8oKr87qt"	1bafcb56-50a2-5a76-b1cb-f547fbad3503	6557	802	[]	6	1.7997997103979857
6	covid	1330184216198455301	@0f5b08ed-e297-5d0b-8d36-370d278aad58 Covid	073d5c1a-1077-5eea-9dda-4e551111b38a	0	0	[]	9	1.7997997103979853
7	covid	1330160402601283586	TWAT - #COVID	be1188c9-8b2b-53ea-84d8-45f848b58b89	184	45	['COVID']	9	1.7997997103979853
8	covid	1330184221827223555	Ask covid	c87760c0-75cd-50b2-9a95-aa1c557c71d4	2	3	[]	6	1.7997997103979853
9	covid	1330180347754115074	Is this not Covid szn ?	a5608121-83ce-5ec1-9419-beeb92982060	0	0	[]	9	1.7997997103979853
10	covid	1330172771285020673	@9e05d6d9-fe32-52a5-8cfb-f2ba08a0f531 covid	0ae5a10a-e44d-525b-96b4-2242b59df103	0	0	[]	9	1.7997997103979853
11	covid	1330169097427046402	@0c4f049c-4052-5145-8ddc-38bfcf44250f COVID 😂😂😂	0465a6ae-2c52-5ebf-92f9-0132d5f5fed0	0	0	[]	9	1.7997997103979853
12	covid	1330181241476427780	@96a3ba37-139f-5110-85b4-ce493de1a1a6 All had covid	12d7dc3b-af9c-5dae-9978-2a592405129d	0	0	[]	6	1.7997997103979853
13	covid	1330175355861291016	fuck covid	81fe9815-7dc4-51ff-b4af-a9ee41472835	0	0	[]	6	1.7997997103979853
14	covid	1330165502476509184	@c8ff8c84-9569-511d-a863-82c21228013a Covid!	85eeb45b-ac93-512c-ad06-47dd2e4489a5	0	0	[]	9	1.7997997103979853
15	covid	1330174745430675456	@7dcef19f-e52c-5786-842b-64ef19049740 Covid	1c71e5d9-d054-5101-945e-3238f2ba56c6	0	0	[]	9	1.7997997103979853
16	covid	1330168789066014721	RT @52fe282a-cdb8-564f-8e23-3f4eadd67904: So he is covid	2d33104f-43f9-5aa5-b314-2aeef48594e5	124875	23930	[]	9	1.7997997103979853
17	covid	1330169122508972033	@929fd26e-a4d1-5d28-8499-b3f4c3e88bb1 did you have covid?	0be0be74-da4e-5e58-93c9-6348c3272ba2	0	0	[]	6	1.7997997103979853
18	covid	1330181250229919748	@56575a5e-ca94-535c-a0bb-3ca46619e01c Of COVID?	cb67a283-16da-5397-97ac-f9d35a8b2528	0	0	[]	9	1.7997997103979853
19	covid	1330172805024002049	Me with covid: https://t.co/7M4DuVXFrT	93447d70-1080-57bf-b6c8-aa6bd66edf2c	0	0	[]	9	1.7997997103979853
0	mask	1330160161772670976	Mask or No Mask?	02697e6d-a2fb-5349-bad6-710a69990d0b	0	0	[]	2	13.47550681
1	mask	1330166312287526915	Mask Up!	7a2f1e2e-384f-5615-971a-209548b07837	155	22	[]	2	13.47550681
2	mask	1330172787701506050	RT @6155ae60-2edc-5dcd-b9c9-a09465731907: MASKS WORK. WEAR A MASK.	7990f8f8-6d0a-51f1-8160-5297b78be83f	2228	1043	[]	2	10.186525659947806
